key;name;file;file_alter_v;MS-50G;MS-60B;MS-70CDR;G1on;B1on;description;description rus;group name;group number;version
148;Slicer;SLICER.ZDL;;MS-50G;;MS-70CDR;G1on;B1on;This effect creates a rhythmical sound by continuously slicing the input;Эффект создает ритмичный звук, непрерывно нарезаю вход;MOD;0x06;1.00
149;StereoCho;STCHO.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This is a stereo chorus with a clear tone;Стерео хорус с чистым звучанием;MOD;0x06;1.00
150;StonePha;STONEPHA.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This phaser sound models the Electro-Harmonix SmallStone;Моделирует фэйзер Electro-Harmonix SmallStone;MOD;0x06;1.00
151;SuperCho;SUPERCHO.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;;This models the sound of a BOSS CH-1 SUPER CHORUS;Моделирует эффект BOSS CH-1 SUPER CHORUS;MOD;0x06;1.00
152;TheVibe;THEVIBE.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This vibe sound features unique undulations;Этот вибрирующий звук отличается уникальной волнообразностью;MOD;0x06;1.00
153;Tremolo;TREMOLO.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This effect varies the volume at a regular rate;Эффект варьирует громкость в постоянном темпе;MOD;0x06;1.00
154;Vibrato;VIBRATO.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This effect automatically adds vibrato;Эффект автоматически добавляет вибрато;MOD;0x06;1.00
155;VinFLNGR;VINFLNGR.ZDL;;MS-50G;MS-60B;MS-70CDR;G1on;B1on;This analog flanger sound is similar to an MXR M-117R;Модулирует аналоговый флэнжер MXR M-117R;MOD;0x06;1.00
156;VintageCE;VTGCE.ZDL;;MS-50G;MS-60B;MS-70CDR;;;This is a simulation of the BOSS CE-1;Моделирует эффект BOSS CE-1;MOD;0x06;1.00
157;WarpPhase;WRPPHASE.ZDL;;MS-50G;MS-60B;MS-70CDR;;B1on;This phaser has a one way effect;Фэйзер, имеет односторонний эффект;MOD;0x06;1.00
